#ITER     #MEDIA_BFO        #MEDIA_M
450           4678.05         4839.6
451           4678.05         4839.6
452           4678.05         4839.6
453           4678.04         4839.6
454           4678.02        4839.59
455           4678.02        4839.59
456           4678.02        4839.59
457           4678.02        4839.59
458              4678        4839.58
459           4677.98        4839.58
460           4677.98        4839.57
461           4677.98        4839.57
462           4677.98        4839.57
463           4677.98        4839.57
464           4677.98        4839.56
465           4677.98        4839.56
466           4677.98        4839.56
467           4677.98        4839.56
468           4677.98        4839.56
469           4677.97        4839.55
470           4677.97        4839.55
471           4677.97        4839.55
472           4677.97        4839.55
473           4677.97        4839.55
474           4677.96        4839.54
475           4677.96        4839.54
476           4677.96        4839.54
477           4677.96        4839.54
478           4677.95        4839.53
479           4677.95        4839.52
480           4677.95        4839.52
481           4677.95        4839.52
482           4677.95        4839.51
483           4677.95        4839.51
484           4677.95         4839.5
485           4677.95         4839.5
486           4677.94         4839.5
487           4677.94         4839.5
488            4677.9        4839.49
489            4677.9        4839.48
490            4677.9        4839.48
491            4677.9        4839.47
492           4677.89        4839.46
493           4677.89        4839.46
494           4677.88        4839.45
495           4677.88        4839.45
496           4677.88        4839.44
497           4677.86        4839.44
498           4677.86        4839.43
499           4677.86        4839.43
500           4677.84        4839.43
501           4677.84        4839.42
502            4677.8        4839.42
503            4677.8        4839.41
504            4677.8        4839.41
505            4677.8        4839.41
506            4677.8        4839.41
507            4677.8         4839.4
508           4677.79        4839.39
509           4677.79        4839.39
510           4677.78        4839.39
511           4677.78        4839.38
512           4677.76        4839.37
513           4677.75        4839.37
514           4677.75        4839.37
515           4677.75        4839.37
516           4677.75        4839.36
517           4677.75        4839.36
518           4677.75        4839.36
519           4677.73        4839.35
520           4677.73        4839.35
521           4677.73        4839.35
522           4677.73        4839.34
523           4677.73        4839.33
524           4677.73        4839.33
525           4677.72        4839.33
526           4677.72        4839.32
527           4677.72        4839.32
528           4677.72        4839.32
529           4677.72        4839.32
530           4677.71        4839.32
531           4677.71        4839.31
532           4677.69        4839.31
533           4677.69         4839.3
534           4677.69         4839.3
535           4677.69        4839.29
536           4677.69        4839.29
537           4677.69        4839.29
538           4677.66        4839.29
539           4677.66        4839.28
540           4677.66        4839.28
541           4677.66        4839.28
542           4677.66        4839.28
543           4677.66        4839.27
544           4677.65        4839.27
545           4677.62        4839.27
546           4677.62        4839.27
547           4677.62        4839.27
548           4677.62        4839.26
549           4677.62        4839.26
550           4677.62        4839.26
551           4677.62        4839.25
552           4677.62        4839.25
553           4677.62        4839.25
554           4677.62        4839.24
555           4677.62        4839.24
556           4677.62        4839.24
557           4677.62        4839.23
558            4677.6        4839.22
559           4677.59        4839.22
560           4677.59        4839.22
561           4677.59        4839.22
562           4677.59        4839.21
563           4677.59         4839.2
564           4677.59         4839.2
565           4677.59         4839.2
566           4677.59         4839.2
